,MoviesN,AvgPop,AvgIMDB,Score
Silas Carson,5,0.038061459517341883,0.7086419753086419,0.4469761735269629
Michael McKean,9,0.020363593374238133,0.6310013717421125,0.4467027727614449
Pierce Brosnan,14,0.03199274507816724,0.6243386243386243,0.44662740112326893
Dallas Roberts,6,0.026264665918518726,0.6584362139917694,0.4465522234891198
Tom Aldredge,5,0.03632538853002604,0.7086419753086419,0.44651743565112595
Dwight Yoakam,6,0.02603082123889342,0.6584362139917694,0.44648539717166796
Amanda Peet,13,0.029921583308822185,0.6248812915479581,0.4463731137682044
Clifton James,5,0.029834324714880782,0.711111111111111,0.44632460795868334
Delroy Lindo,10,0.028345112122732247,0.6259259259259259,0.4462447592367965
Tony Shalhoub,11,0.034509029784207536,0.6228956228956228,0.44622995149002265
Adam Scott,13,0.028800396931200185,0.6248812915479581,0.44603677312475937
Ed Helms,7,0.04073886848898285,0.6313932980599647,0.4460276871366971
James DuMont,6,0.033892155834684926,0.6543209876543209,0.44598790765859125
Veronica Cartwright,6,0.03360281426742139,0.6543209876543209,0.44590522187135445
Corey Feldman,6,0.033544141901831845,0.6543209876543209,0.4458884549381284
Julianne Moore,18,0.028296528335111003,0.6248285322359396,0.4458687946733921
Bruce Willis,25,0.04004458475481083,0.619753086419753,0.44584053579590455
Alan Ruck,6,0.023705748815426045,0.6584362139917695,0.44582095602159305
Mena Suvari,6,0.04266398287083254,0.6502057613168724,0.44575061160791973
Benjamin Bratt,9,0.03280659551771882,0.6241426611796982,0.44563721725882055
Maury Chaykin,8,0.02247201412929756,0.6311728395061728,0.4455604293353588
Stephen Rea,7,0.03077240892633999,0.6349206349206349,0.4455162523256869
Rainer Bock,5,0.03224022741235537,0.7086419753086419,0.44543797625847203
Melora Walters,5,0.03179107476784622,0.7086419753086419,0.44531929255741703
Noomi Rapace,5,0.04248195458791976,0.7037037037037036,0.44509951062945347
Anna Kendrick,10,0.05003570854836971,0.6148148148148148,0.44497531796731
Aasif Mandvi,8,0.024097779787045547,0.6296296296296295,0.44497187774850144
Martin McDougall,6,0.044705027271176395,0.648148148148148,0.4449618650868836
C. Thomas Howell,6,0.02069287181311603,0.6584362139917694,0.4449599594176833
Matthew Goode,5,0.03595917382281772,0.7061728395061727,0.44489830207795766
Gene Wilder,5,0.030107853991716428,0.7086419753086419,0.44487451977505504
Vince Vaughn,16,0.027853128558509466,0.6234567901234567,0.44477468631666955
Peter Maloney,5,0.017691812717822965,0.7135802469135802,0.4446384465527492
Jane Fonda,8,0.026506257824408425,0.6280864197530863,0.4446165683023465
Janeane Garofalo,7,0.023273355659064406,0.6366843033509699,0.44451936291322935
Kevin Pollak,8,0.0369413838786059,0.6234567901234568,0.44450710294961004
Kenneth Mars,5,0.03447646037167484,0.7061728395061728,0.4445065111753842
Elliot Levey,5,0.028711965638861525,0.7086419753086419,0.44450567146034164
Iggy Pop,6,0.028425771583527527,0.6543209876543209,0.4444257667971146
Matthew Modine,7,0.026944993109223624,0.6349206349206349,0.44438867979190166
Zooey Deschanel,6,0.03781432076570718,0.6502057613168724,0.4443647128143677
Ray Winstone,7,0.043170631782898115,0.6278659611992945,0.4443193692558159
David Niven,8,0.025272751740200793,0.6280864197530863,0.4442489931787849
Joely Richardson,6,0.03233403183172437,0.6522633744855967,0.44417061872783586
Fred Gwynne,5,0.03881849369302038,0.7037037037037036,0.4441314809339994
Frankie Faison,8,0.021139552278705225,0.6296296296296295,0.4440903491887134
Patton Oswalt,9,0.06522965503304065,0.6076817558299039,0.4438459414972541
Taraji P. Henson,6,0.03583266586794316,0.6502057613168724,0.44379841085919736
Chris Pine,7,0.03308604503725134,0.6313932980599647,0.4437731336879993
Robert Prosky,10,0.02543099880897471,0.6234567901234568,0.44364450130925087
Troy Evans,7,0.032596537373567894,0.6313932980599647,0.44362892270517945
Eric Stoltz,8,0.023098186121737987,0.6280864197530863,0.4436009897062989
Fred Willard,5,0.030248249223178765,0.7061728395061728,0.4433892523679835
Val Kilmer,12,0.037579167137012225,0.6172839506172839,0.44331780580963925
Thandie Newton,6,0.029081134416678537,0.6522633744855967,0.4432410309534018
Tim Blake Nelson,9,0.03328777857918417,0.6200274348422496,0.4429076795884878
Charlie Sheen,15,0.0321822964364472,0.6189300411522634,0.44290299644745645
Piper Perabo,5,0.03403003354397829,0.7037037037037036,0.4428661824218125
Mike Birbiglia,6,0.037282176688726895,0.6481481481481481,0.4428406204632507
Mykelti Williamson,7,0.029663257106647797,0.6313932980599647,0.4427647662035309
Anne Bancroft,5,0.03361103337678789,0.7037037037037036,0.4427554661849325
Diane Lane,13,0.03299643963871423,0.6182336182336182,0.44264236872269713
Eileen Davies,5,0.044514056243578105,0.6987654320987654,0.4425917407496674
Alex Norton,5,0.026946558178646943,0.7061728395061728,0.4425168164206607
Michael Chernus,6,0.0311393251215021,0.6502057613168724,0.442457184370171
Jacob Vargas,6,0.03103181085312754,0.6502057613168724,0.4424264597770757
Joe Flaherty,6,0.030758620533759308,0.6502057613168724,0.44234838956809713
Walter Matthau,6,0.020763859091827604,0.6543209876543209,0.44223620491664334
Josh Hutcherson,8,0.03989372285675656,0.6188271604938271,0.4421678258275789
Molly Shannon,9,0.027576918498666024,0.6213991769547325,0.4421565030236156
Kurtwood Smith,7,0.03143050843448039,0.6296296296296295,0.44207304305209866
Ian McShane,8,0.04641715861858055,0.6157407407407407,0.4419657244771532
Oliver Ford Davies,5,0.030353905085582538,0.7037037037037036,0.4418948054604846
Jack Warden,5,0.03608644196611029,0.7012345679012345,0.4418872006606536
Adam Driver,5,0.030320513655565914,0.7037037037037036,0.44188598213828817
Christopher Walken,19,0.02647950649843871,0.6198830409356725,0.4418619308794927
Terence Stamp,14,0.03049428485035944,0.6181657848324514,0.4418569550751681
Dominic West,8,0.034877768664877455,0.6203703703703703,0.44174612786213624
Leo White,4,0.03352890100016451,0.8487654320987653,0.4417015524787456
James Cosmo,7,0.04247793116095802,0.6243386243386243,0.441690571379381
Brion James,10,0.027202342144345294,0.619753086419753,0.44158518956650905
Kathy Najimy,5,0.03990725385667049,0.6987654320987654,0.44137444332530446
Dale Dye,6,0.046024269809549934,0.6419753086419753,0.4412228069377759
Jean Reno,6,0.02659436036647594,0.6502057613168724,0.44115835962028366
January Jones,9,0.03060225372545453,0.6186556927297667,0.44114616900183173
Richard Gere,14,0.028111421148473884,0.6181657848324514,0.44114210790376596
Grey Griffin,6,0.026486205548556664,0.6502057613168724,0.44112745197591136
Bert Moorhouse,4,0.03752397369811665,0.845679012345679,0.4409982945827493
Ted Raimi,6,0.03549729292506367,0.6460905349794238,0.4409585298881802
Olympia Dukakis,6,0.025658243623499284,0.6502057613168724,0.4408908434435702
Scott Seaton,4,0.03637338657841083,0.845679012345679,0.44074595060745264
Jared Harris,9,0.029029424546140305,0.6186556927297667,0.44067548695219255
Al Leong,6,0.043616265366902524,0.6419753086419753,0.440534666118974
Aidan Turner,5,0.059700916416827406,0.6888888888888888,0.4405152420890973
David Denman,6,0.04275612917200508,0.6419753086419753,0.44028886307353315
Bernie Mac,7,0.025229819752411668,0.6296296296296295,0.4402462945140416
Eddie Jemison,5,0.04114769476001161,0.6962962962962963,0.44017985102226287
Oscar Isaac,5,0.03532315546987572,0.6987654320987654,0.4401631451860289
James Cromwell,11,0.02998800356406071,0.6161616161616161,0.4401618745232195
Holland Taylor,5,0.034837257561483724,0.6987654320987653,0.44003475194865665
Logan Lerman,8,0.03267577299169215,0.6188271604938271,0.44001693346678733
Caroline Goodall,9,0.02991459361838421,0.6172839506172839,0.43998253584918273
Nora Dunn,8,0.02163414399357423,0.6234567901234568,0.4399456657064844
Eddie Izzard,9,0.032824121664984114,0.6159122085048011,0.43989539079541645
Jonathan Banks,6,0.026471185706107205,0.6481481481481481,0.43975113937464444
Glen Powell,5,0.0393123462520085,0.6962962962962962,0.4396948801413867
George Segal,5,0.027357564009019415,0.7012345679012345,0.43958068960106433
Charles Bronson,6,0.0210087213396637,0.6502057613168724,0.4395621390546704
Josh Peck,8,0.03824018815780827,0.6157407407407407,0.43952905151221344
Matthias Schoenaerts,5,0.0385129961201566,0.6962962962962962,0.43948366056326177
Edward Fox,6,0.02537153503978099,0.6481481481481481,0.43943688974265877
Judge Reinhold,6,0.030097471867220654,0.6460905349794238,0.43941541093942854
Jeanine Jackson,6,0.02966457815719694,0.6460905349794238,0.4392917019350787
Bill Cobbs,9,0.02714839433449493,0.6172839506172839,0.4391547279945375
