,MoviesN,AvgPop,AvgIMDB,Score
Nicolas Le Riche,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Niels Arestrup,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Talina Boyaci,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Patrick Chesnais,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Anne Alvaro,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Anne Consigny,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Fiorella Campanella,1,0.038606885365923646,0.839506172839506,0.07143072826438908
Anita Ekberg,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Liana Orfei,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Alain Dijon,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Nadia Gray,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Lex Barker,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Walter Santesso,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Ida Galli,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Yvonne Furneaux,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Riccardo Garrone,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Laura Betti,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Annibale Ninchi,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Enrico Glori,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Valeria Ciangottini,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Polidor,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Oretta Fiume,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Adriano Celentano,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Enzo Cerusico,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Alain Cuny,1,0.03851483073760262,0.839506172839506,0.07142743631018462
Mathew McCue,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Kansas Moehring,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Cecil Combs,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Richard LaMarr,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Bob Whitney,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Myron Healey,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Bud Cokes,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Estelita Rodriguez,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Ricky Nelson,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Pedro Gonzalez Gonzalez,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Tom Monroe,1,0.03776135300439634,0.839506172839506,0.07140049128594159
George Bell,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Fred Graham,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Danny Sands,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Ralph Bucko,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Nesdon Booth,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Riley Hill,1,0.03776135300439634,0.839506172839506,0.07140049128594159
George Bruggeman,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Bob Reeves,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Bob Steele,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Cactus Mack,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Albert Cavens,1,0.03776135300439634,0.839506172839506,0.07140049128594159
Bernard McKenna,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Kenneth Colley,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Sue Jones-Davies,1,0.0372976160215032,0.839506172839506,0.0713839076449184
George Harrison,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Gwen Taylor,1,0.0372976160215032,0.839506172839506,0.0713839076449184
John Case,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Carol Cleveland,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Graham Chapman,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Chris Langham,1,0.0372976160215032,0.839506172839506,0.0713839076449184
Gaston Joly,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Xavier Saint-Macary,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Valentina Cortese,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Nike Arrighi,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Jean Champion,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Pierre Zucca,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Maurice Seveno,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Dani,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Walter Bal,1,0.03516364610074899,0.839506172839506,0.07130759500990005
Kimberly Clever,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
David Frutos,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Chad Everett,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Monty Montgomery,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Michele Hicks,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Theresa Salazar,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Dan Birnbaum,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Peter Loggins,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Michael Fairman,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Lisa K. Ferguson,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Lyssie Powell,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Ann Miller,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Michael Cooke,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Christian Thompson,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Thea Samuels,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Rebekah Del Rio,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Sean Everett,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Lisa Lackey,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Conte Candoli,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Brian Beacock,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Rena Riffel,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Michael Des Barres,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Richard Mead,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Mo Gallini,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
David Schroeder,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Michael D. Weatherred,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Joshua Collazo,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Charles Croughwell,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Randall Wulff,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Adrien Curry,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Vincent Castellanos,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Tad Horino,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Diane Nelson,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Richard Green,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Scott Coffey,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Kate Forster,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Marcus Graham,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Tyrah M. Lindsey,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Jeanne Bates,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Maya Bond,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Johanna Stein,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Angelo Badalamenti,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Enrique Buelna,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Joseph Kearney,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Rita Taggart,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Cori Glazer,1,0.06330212773222145,0.8271604938271604,0.07128370307058811
Mithun Chakraborty,2,0.004655301734936101,0.3765432098765431,0.0712632472896425
Myron McCormick,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Piper Laurie,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Jake LaMotta,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Carl York,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Alexander Rose,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Gordon B. Clarke,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Carolyn Coates,1,0.03249126643767624,0.839506172839506,0.07121202837052283
Pradeep Kottayam,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
Lakshmi Ramakrishnan,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
Samantha Akkineni,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
Silambarasan,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
Naga Chaitanya Akkineni,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
Janani Iyer,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
VTV Ganesh,1,0.003606311343019134,0.8518518518518516,0.0712092257644277
Bruce Balden,1,0.002678078465272255,0.8518518518518516,0.07117603134302437
Jacqueline Bassett,1,0.002678078465272255,0.8518518518518516,0.07117603134302437
Symon Basterfield,1,0.002678078465272255,0.8518518518518516,0.07117603134302437
Andrew Brackfield,1,0.002678078465272255,0.8518518518518516,0.07117603134302437
Periyakaruppu Thevar,1,0.0012973878466153708,0.8518518518518516,0.07112665663617865
V. I. S. Jayapalan,1,0.0012973878466153708,0.8518518518518516,0.07112665663617865
Meenal,1,0.0012973878466153708,0.8518518518518516,0.07112665663617865
Ryoko Hirosue,1,0.028458192441734,0.839506172839506,0.07106780210900851
Takashi Sasano,1,0.028458192441734,0.839506172839506,0.07106780210900851
Tsutomu Yamazaki,1,0.028458192441734,0.839506172839506,0.07106780210900851
Masahiro Motoki,1,0.028458192441734,0.839506172839506,0.07106780210900851
Kazuko Yoshiyuki,1,0.028458192441734,0.839506172839506,0.07106780210900851
Gyula Pauer,1,0.027745556704498756,0.839506172839506,0.07104231763034376
Peter Fitz,1,0.027745556704498756,0.839506172839506,0.07104231763034376
Dror Harazi,1,0.026583909661403914,0.839506172839506,0.07100077611377517
Ron Ben-Yishai,1,0.026583909661403914,0.839506172839506,0.07100077611377517
Ari Folman,1,0.026583909661403914,0.839506172839506,0.07100077611377517
Ronny Dayag,1,0.026583909661403914,0.839506172839506,0.07100077611377517
Brendan Mackey,1,0.026435598073068226,0.839506172839506,0.07099547236136537
Richard Hawking,1,0.026435598073068226,0.839506172839506,0.07099547236136537
Joe Simpson,1,0.026435598073068226,0.839506172839506,0.07099547236136537
Nicholas Aaron,1,0.026435598073068226,0.839506172839506,0.07099547236136537
Ollie Ryall,1,0.026435598073068226,0.839506172839506,0.07099547236136537
Simon Yates,1,0.026435598073068226,0.839506172839506,0.07099547236136537
Aki Asakura,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Caitlyn Leone,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Michael Leone,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Atsuko Takahata,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Brian Leone,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Emily Bridges,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Takaya Kamikawa,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Nobuko Miyamoto,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Tomoko Tabata,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Hidetoshi Nishijima,1,0.026338231061023048,0.839506172839506,0.07099199043166207
Paul Bryar,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Charles Akins,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Donnelly Rhodes,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Eric Sinclair,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Ted Cassidy,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Charles Dierkop,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Nelson Olmsted,1,0.02337403234286434,0.839506172839506,0.07088598808706445
Tim McLachlan,1,0.08094868632095935,0.8148148148148147,0.07088461076597859
Bret McKenzie,1,0.08094868632095935,0.8148148148148147,0.07088461076597859
Jeffrey Thomas,1,0.08094868632095935,0.8148148148148147,0.07088461076597859
James Kirchner,1,0.02215318320434812,0.839506172839506,0.07084232945166666
Riva Di Paola,1,0.02215318320434812,0.839506172839506,0.07084232945166666
