name,MoviesN,AvgPop,AvgIMDB,Score
Carolco Pictures,12,0.03502931549258032,0.6306584362139915,0.4519139293880783
Walden Media,9,0.03385370139430857,0.6323731138545952,0.45169764359924247
Di Bonaventura Pictures,9,0.04118339456658197,0.6282578875171467,0.45101757882674576
Summit Entertainment,24,0.04377583588994412,0.6255144032921808,0.45099283272954166
Bad Hat Harry Productions,6,0.018592642143380526,0.6666666666666666,0.44984785347365136
Scion Films,5,0.04179108291396543,0.7111111111111109,0.4494840512638358
Dino De Laurentiis Company,8,0.025703389021619966,0.6342592592592591,0.4486693876339775
Millennium Films,16,0.03664551547991368,0.622685185185185,0.4468722741950611
Baltimore Pictures,5,0.03022169635580154,0.7086419753086419,0.4449046013815459
Lionsgate,28,0.03973902821458718,0.6181657848324514,0.444637757840917
Relativity Media,48,0.03322341580023464,0.620884773662551,0.44458636630385606
Golden Harvest Company,6,0.022814607469649226,0.6563786008230451,0.44419427221751917
Pathé Renn Productions,5,0.02869625546502773,0.7061728395061727,0.4429791548978176
Spyglass Entertainment,17,0.028984200137352742,0.6201888162672475,0.4428270632048584
Nu Image Films,9,0.031137087452953665,0.6200274348422495,0.4422640676052231
3 Arts Entertainment,7,0.02882707040276366,0.6296296296296295,0.4413060594375022
Exclusive Media Group,5,0.03350940114027427,0.7012345679012344,0.44120624565188576
Thunder Road Pictures,5,0.07301994247266315,0.6839506172839505,0.4409899192186211
Focus Films,6,0.030769425165663115,0.6481481481481479,0.44097945688466234
Playtone,7,0.07223780233554332,0.6102292768959435,0.44075905091433526
Skydance Productions,5,0.048638196193544085,0.6938271604938271,0.4406367692348744
FilmDistrict,6,0.0381812854496741,0.6440329218106995,0.4403535200915637
Yari Film Group,5,0.02292623042239515,0.7037037037037036,0.4399321232186329
Canal Plus,6,0.031040661344753615,0.6460905349794237,0.4396849483073252
Endgame Entertainment,5,0.03597392665358196,0.6962962962962963,0.43881273907317936
Marc Platt Productions,6,0.03220716414793883,0.6440329218106995,0.4386462820768041
Reliance Entertainment,6,0.028928228161816897,0.6440329218106995,0.43770925320163817
Blumhouse Productions,18,0.05947829141117202,0.5994513031550067,0.43745926581205175
Epsilon Motion Pictures,21,0.031332467055057385,0.6114050558495003,0.43738327254982906
Marvel Entertainment,5,0.19009492825890356,0.6271604938271603,0.43691130847494714
Fuji Television Network,5,0.052182422271941094,0.6814814814814815,0.43396146582712913
Spring Creek Productions,5,0.032629136372183454,0.6888888888888887,0.43336181866140255
Lions Gate Films,13,0.033306128472925946,0.6030389363722696,0.4320994767165731
Phoenix Pictures,10,0.035567710323555296,0.6024691358024691,0.4320047707992695
Dino de Laurentiis Cinematografica,6,0.02243276683479723,0.6378600823045267,0.43173696963924446
Original Film,21,0.032575628006286626,0.6002351557907111,0.4299372909074475
Hollywood Pictures,24,0.022582528507779333,0.603909465020576,0.4295113837410573
Constantin Film Produktion,6,0.03246051773869793,0.6296296296296295,0.4291145410685268
Dark Castle Entertainment,7,0.040311033114500766,0.6067019400352731,0.4289285672129076
Dune Entertainment III,13,0.035680945558071935,0.5973409306742639,0.4288234665841429
Rai Cinema,6,0.02115271734148341,0.6337448559670783,0.42862712633617944
Platinum Dunes,8,0.03937480853573765,0.5972222222222221,0.4269909556877638
Jersey Films,6,0.02839862713615411,0.6275720164609051,0.4265817451530617
Intermedia Films,7,0.03313096954192784,0.6049382716049382,0.4256009280766726
1492 Pictures,6,0.050289105538681295,0.6152263374485596,0.42460531407441493
Lakeshore Entertainment,15,0.02680903729722496,0.5950617283950617,0.424583312335678
Ingenious Film Partners,11,0.02774751886219504,0.5937149270482603,0.42378254138744775
Capitol Films,6,0.030914575781245502,0.619341563786008,0.42181265203907964
Vertigo Entertainment,7,0.044618992382921996,0.5943562610229276,0.42171117090920757
Lawrence Bender Productions,5,0.03292972886728359,0.6691358024691357,0.4212623243991123
Isle of Man Film,7,0.026388186963016272,0.6014109347442678,0.4211897510264559
Allied Filmmakers,6,0.023158093459887265,0.6193415637860082,0.41959606472673533
Sony Pictures Releasing,8,0.054119385262095435,0.5802469135802468,0.41958153692719125
Davis Entertainment,11,0.033090867333661504,0.584736251402918,0.41910204310940025
FilmNation Entertainment,6,0.04036173466655922,0.6111111111111109,0.4190243063878184
Goldcrest Films International,5,0.02433368835327683,0.6691358024691357,0.4189909141890373
Troublemaker Studios,5,0.03452313276100185,0.6641975308641974,0.4186386334072764
Morgan Creek Productions,21,0.03018397945915692,0.5843621399176954,0.41810868541234697
Warner Bros. Animation,5,0.03060761910150213,0.6641975308641974,0.4176040015102555
Propaganda Films,5,0.01797725760868944,0.6691358024691357,0.41731129650117693
Cross Creek Pictures,5,0.03265077441430395,0.6617283950617282,0.4166215177591049
CBS Films,7,0.03094348091099844,0.5925925925925923,0.4164699459500818
Artisan Entertainment,7,0.022678891366408764,0.5961199294532625,0.41645988908704573
BenderSpink,6,0.035015080961551856,0.6090534979423867,0.41612436084520255
Interscope Communications,7,0.0266369792906483,0.5908289241622574,0.41398887005293006
Gold Circle Films,6,0.030526125997966037,0.6069958847736624,0.4134695217914925
Mace Neufeld Productions,5,0.04167027248483295,0.6518518518518517,0.41291536074286256
The Ladd Company,5,0.03404183636558929,0.6543209876543209,0.4124219947898131
Alcon Entertainment,9,0.026682161683931168,0.5788751714677639,0.41219553794571895
Screen Gems,16,0.03199783202003154,0.574074074074074,0.4114502714447131
The Montecito Picture Company,5,0.04079571208893768,0.6493827160493825,0.41116190235053485
Nelson Entertainment,5,0.017579436655195655,0.659259259259259,0.411116715361311
